z
Angle	PING Distance	IR value
0	46.34		781
2	46.33		748
4	46.92		807
6	47.28		975
8	47.31		1008
10	47.37		1007
12	46.98		887
14	47.48		665
16	48.38		444
18	48.86		534
20	49.37		788
22	50.76		1046
24	49.54		1108
26	49.96		1077
28	55.46		1117
30	51.52		895
32	49.39		779
34	50.26		932
36	52.75		884
38	51.42		951
40	42.42		961
42	50.60		985
44	51.00		1005
46	50.95		996
48	52.62		1017
50	52.64		1143
52	50.60		1156
54	50.20		1218
56	10.10		1233
58	9.84		1271
60	9.16		1299
62	9.16		1463
64	8.74		1567
66	8.67		1605
68	8.67		1667
70	9.12		1699
72	9.11		1741
74	9.11		1777
76	9.17		1839
78	9.16		1863
80	9.16		1890
82	9.84		1975
84	10.52		2005
86	31.04		2036
88	16.33		2095
90	15.77		2120
92	16.19		2131
94	16.15		2173
96	15.27		2218
98	15.63		2260
100	15.58		2256
102	15.07		2346
104	15.07		2425
106	15.90		2332
108	16.33		2290
110	15.85		2304
112	14.97		2377
114	14.99		2334
116	15.02		2332
118	15.02		2315
120	15.07		2282
122	15.07		2277
124	15.53		2253
126	16.00		2257
128	16.45		2215
130	17.40		2213
132	17.40		2196
134	17.90		2160
136	18.57		2105
138	37.46		2065
140	40.01		2099
142	40.81		2020
144	50.85		1971
146	37.85		1944
148	37.86		1894
150	38.69		1849
152	52.55		1828
154	62.95		1733
156	53.29		1697
158	51.09		1624
160	51.91		1595
162	41.48		1541
164	41.53		1523
166	41.48		1414
168	51.27		1365
170	52.67		1313
172	48.51		1255
174	48.52		1228
176	48.90		1195
178	49.30		1121
180	48.86		1017
END
