Angle(Degrees)	Distance(cm)
  0     22.43
  2     22.38
  4     22.39
  6     22.38
  8     22.39
 10     22.43
 12     22.57
 14     23.22
 16     23.50
 18     23.89
 20     23.74
 22     24.62
 24     25.20
 26     25.80
 28     26.00
 30     26.49
 32     27.31
 34     27.58
 36     28.00
 38     28.01
 40     28.06
 42     28.55
 44     29.15
 46     30.13
 48     27.78
 50     30.96
 52     31.05
 54     31.53
 56     30.88
 58     30.12
 60     29.47
 62     28.90
 64     28.33
 66     27.75
 68     27.24
 70     26.70
 72     26.13
 74     25.58
 76     25.02
 78     24.44
 80     23.87
 82     23.31
 84     22.76
 86     22.20
 88     21.65
 90     21.10
 92     20.55
 94     20.01
 96     19.48
 98     18.94
100     18.41
102     17.89
104     17.37
106     16.85
108     45.80
110     43.40
112     42.02
114     42.78
116     41.56
118     43.12
120     44.78
122     45.80
124     12.37
126     11.90
128     11.43
130     10.96
132     10.50
134     10.04
136     55.14
138     58.21
140     41.02
142     44.88
144     47.65
146     59.76
148     43.57
150     56.91
152     48.20
154     51.44
156     42.39
158     57.83
160     49.32
162     46.07
164     59.10
166     53.78
168     45.22
170     50.66
172     41.88
174     44.15
176     58.74
178     42.99
180     54.33
